----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 9802
1482000 1178
1378000 1147
1274000 1444
1170000 2406
1066000 1756
962000 2519
858000 3664
754000 4164
650000 5815
546000 6963
442000 15136
338000 25191
--------------------------------------
cpu 1 state 0
1586000 9802
1482000 1178
1378000 1147
1274000 1444
1170000 2406
1066000 1756
962000 2519
858000 3664
754000 4164
650000 5815
546000 6963
442000 15136
338000 25194
--------------------------------------
cpu 2 state 0
1586000 9802
1482000 1178
1378000 1147
1274000 1444
1170000 2406
1066000 1756
962000 2519
858000 3664
754000 4164
650000 5815
546000 6963
442000 15136
338000 25197
--------------------------------------
cpu 3 state 0
1586000 9802
1482000 1178
1378000 1147
1274000 1444
1170000 2406
1066000 1756
962000 2519
858000 3664
754000 4164
650000 5815
546000 6963
442000 15141
338000 25197
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 9663
2184000 506
2080000 4598
1976000 1228
1872000 478
1768000 1758
1664000 859
1560000 1457
1456000 502
1352000 1896
1248000 2498
1144000 861
1040000 1953
936000 2035
832000 4279
728000 3658
624000 4239
520000 38733
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 9663
2184000 506
2080000 4598
1976000 1228
1872000 478
1768000 1758
1664000 859
1560000 1457
1456000 502
1352000 1896
1248000 2498
1144000 861
1040000 1953
936000 2035
832000 4279
728000 3658
624000 4239
520000 38736
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 9663
2184000 506
2080000 4598
1976000 1228
1872000 478
1768000 1758
1664000 859
1560000 1457
1456000 502
1352000 1896
1248000 2498
1144000 861
1040000 1953
936000 2035
832000 4279
728000 3658
624000 4239
520000 38740
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 9663
2184000 506
2080000 4598
1976000 1228
1872000 478
1768000 1758
1664000 859
1560000 1457
1456000 502
1352000 1896
1248000 2498
1144000 861
1040000 1953
936000 2035
832000 4279
728000 3658
624000 4239
520000 38746
--------------------------------------
------------ FREQ TIME --------------------------
