----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 8220
1482000 756
1378000 855
1274000 913
1170000 1476
1066000 1154
962000 1607
858000 2153
754000 2203
650000 2986
546000 3380
442000 7566
338000 12666
--------------------------------------
cpu 1 state 0
1586000 8220
1482000 756
1378000 855
1274000 913
1170000 1476
1066000 1154
962000 1607
858000 2153
754000 2203
650000 2989
546000 3380
442000 7566
338000 12666
--------------------------------------
cpu 2 state 0
1586000 8220
1482000 756
1378000 855
1274000 913
1170000 1476
1066000 1154
962000 1607
858000 2153
754000 2203
650000 2993
546000 3380
442000 7566
338000 12666
--------------------------------------
cpu 3 state 0
1586000 8220
1482000 756
1378000 855
1274000 913
1170000 1476
1066000 1154
962000 1607
858000 2156
754000 2203
650000 2994
546000 3380
442000 7566
338000 12666
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 7010
2184000 353
2080000 4426
1976000 790
1872000 375
1768000 1126
1664000 554
1560000 968
1456000 257
1352000 1153
1248000 1624
1144000 689
1040000 1255
936000 1259
832000 2774
728000 2046
624000 2215
520000 17075
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 7010
2184000 353
2080000 4426
1976000 790
1872000 375
1768000 1126
1664000 554
1560000 968
1456000 257
1352000 1153
1248000 1624
1144000 689
1040000 1255
936000 1259
832000 2774
728000 2046
624000 2215
520000 17078
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 7010
2184000 353
2080000 4426
1976000 790
1872000 375
1768000 1126
1664000 554
1560000 968
1456000 257
1352000 1153
1248000 1624
1144000 689
1040000 1255
936000 1259
832000 2774
728000 2046
624000 2215
520000 17081
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 7010
2184000 353
2080000 4426
1976000 790
1872000 375
1768000 1126
1664000 554
1560000 968
1456000 257
1352000 1153
1248000 1624
1144000 689
1040000 1255
936000 1259
832000 2774
728000 2046
624000 2215
520000 17083
--------------------------------------
------------ FREQ TIME --------------------------
