----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 8020
1482000 695
1378000 845
1274000 903
1170000 1355
1066000 1073
962000 1497
858000 2032
754000 2042
650000 2729
546000 3147
442000 7204
338000 12295
--------------------------------------
cpu 1 state 0
1586000 8020
1482000 695
1378000 845
1274000 903
1170000 1355
1066000 1073
962000 1497
858000 2032
754000 2042
650000 2729
546000 3147
442000 7204
338000 12298
--------------------------------------
cpu 2 state 0
1586000 8020
1482000 695
1378000 845
1274000 903
1170000 1355
1066000 1073
962000 1497
858000 2032
754000 2042
650000 2729
546000 3147
442000 7204
338000 12301
--------------------------------------
cpu 3 state 0
1586000 8020
1482000 695
1378000 845
1274000 903
1170000 1355
1066000 1073
962000 1497
858000 2032
754000 2042
650000 2729
546000 3147
442000 7209
338000 12301
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 6710
2184000 353
2080000 4415
1976000 770
1872000 365
1768000 1033
1664000 524
1560000 918
1456000 237
1352000 1112
1248000 1551
1144000 659
1040000 1194
936000 1175
832000 2601
728000 1914
624000 1990
520000 16332
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 6710
2184000 353
2080000 4415
1976000 770
1872000 365
1768000 1033
1664000 524
1560000 918
1456000 237
1352000 1112
1248000 1551
1144000 659
1040000 1194
936000 1175
832000 2601
728000 1914
624000 1990
520000 16335
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 6710
2184000 353
2080000 4415
1976000 770
1872000 365
1768000 1033
1664000 524
1560000 918
1456000 237
1352000 1112
1248000 1551
1144000 659
1040000 1194
936000 1175
832000 2601
728000 1914
624000 1990
520000 16340
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 6710
2184000 353
2080000 4415
1976000 770
1872000 365
1768000 1033
1664000 524
1560000 918
1456000 237
1352000 1112
1248000 1551
1144000 659
1040000 1194
936000 1175
832000 2601
728000 1914
624000 1996
520000 16341
--------------------------------------
------------ FREQ TIME --------------------------
