----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 11960
1482000 2029
1378000 1768
1274000 2146
1170000 2683
1066000 2803
962000 3555
858000 4351
754000 4485
650000 6608
546000 6887
442000 15384
338000 41950
--------------------------------------
cpu 1 state 0
1586000 11960
1482000 2029
1378000 1768
1274000 2146
1170000 2683
1066000 2803
962000 3555
858000 4351
754000 4485
650000 6608
546000 6887
442000 15388
338000 41950
--------------------------------------
cpu 2 state 0
1586000 11960
1482000 2029
1378000 1768
1274000 2146
1170000 2683
1066000 2803
962000 3555
858000 4351
754000 4485
650000 6608
546000 6887
442000 15390
338000 41951
--------------------------------------
cpu 3 state 0
1586000 11960
1482000 2029
1378000 1768
1274000 2146
1170000 2683
1066000 2803
962000 3555
858000 4351
754000 4485
650000 6608
546000 6887
442000 15390
338000 41955
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 11149
2184000 582
2080000 4775
1976000 1530
1872000 580
1768000 2316
1664000 943
1560000 1631
1456000 1136
1352000 2172
1248000 2865
1144000 1230
1040000 3061
936000 2684
832000 6485
728000 5705
624000 5272
520000 52508
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 11149
2184000 582
2080000 4775
1976000 1530
1872000 580
1768000 2316
1664000 943
1560000 1631
1456000 1136
1352000 2172
1248000 2865
1144000 1230
1040000 3061
936000 2685
832000 6490
728000 5705
624000 5272
520000 52508
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 11149
2184000 582
2080000 4775
1976000 1530
1872000 580
1768000 2316
1664000 943
1560000 1631
1456000 1136
1352000 2172
1248000 2865
1144000 1230
1040000 3061
936000 2685
832000 6496
728000 5705
624000 5272
520000 52508
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 11149
2184000 582
2080000 4775
1976000 1530
1872000 580
1768000 2316
1664000 943
1560000 1631
1456000 1136
1352000 2172
1248000 2865
1144000 1230
1040000 3061
936000 2685
832000 6496
728000 5705
624000 5272
520000 52512
--------------------------------------
------------ FREQ TIME --------------------------
