----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 12222
1482000 2090
1378000 1848
1274000 2225
1170000 2852
1066000 3026
962000 3866
858000 4796
754000 4964
650000 7524
546000 8250
442000 17603
338000 43390
--------------------------------------
cpu 1 state 0
1586000 12222
1482000 2090
1378000 1848
1274000 2225
1170000 2852
1066000 3026
962000 3866
858000 4797
754000 4966
650000 7524
546000 8250
442000 17603
338000 43390
--------------------------------------
cpu 2 state 0
1586000 12222
1482000 2090
1378000 1848
1274000 2225
1170000 2852
1066000 3026
962000 3866
858000 4801
754000 4966
650000 7524
546000 8250
442000 17603
338000 43390
--------------------------------------
cpu 3 state 0
1586000 12222
1482000 2090
1378000 1848
1274000 2225
1170000 2852
1066000 3026
962000 3866
858000 4804
754000 4966
650000 7524
546000 8250
442000 17603
338000 43390
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 11703
2184000 642
2080000 4825
1976000 1651
1872000 600
1768000 2450
1664000 1004
1560000 1742
1456000 1166
1352000 2296
1248000 3056
1144000 1290
1040000 3215
936000 2797
832000 6908
728000 6082
624000 5779
520000 57463
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 11703
2184000 642
2080000 4825
1976000 1651
1872000 600
1768000 2450
1664000 1004
1560000 1742
1456000 1166
1352000 2296
1248000 3056
1144000 1290
1040000 3215
936000 2797
832000 6908
728000 6082
624000 5779
520000 57465
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 11703
2184000 642
2080000 4825
1976000 1651
1872000 600
1768000 2450
1664000 1004
1560000 1742
1456000 1166
1352000 2296
1248000 3056
1144000 1290
1040000 3215
936000 2797
832000 6908
728000 6082
624000 5779
520000 57468
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 11703
2184000 642
2080000 4825
1976000 1651
1872000 600
1768000 2450
1664000 1004
1560000 1742
1456000 1166
1352000 2296
1248000 3056
1144000 1290
1040000 3215
936000 2797
832000 6908
728000 6082
624000 5779
520000 57471
--------------------------------------
------------ FREQ TIME --------------------------
