----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 12483
1482000 2169
1378000 1931
1274000 2315
1170000 3013
1066000 3156
962000 4077
858000 5170
754000 5510
650000 8459
546000 9481
442000 19910
338000 45253
--------------------------------------
cpu 1 state 0
1586000 12483
1482000 2169
1378000 1931
1274000 2315
1170000 3013
1066000 3156
962000 4077
858000 5170
754000 5510
650000 8459
546000 9482
442000 19910
338000 45256
--------------------------------------
cpu 2 state 0
1586000 12483
1482000 2169
1378000 1931
1274000 2315
1170000 3013
1066000 3156
962000 4077
858000 5170
754000 5510
650000 8459
546000 9487
442000 19910
338000 45256
--------------------------------------
cpu 3 state 0
1586000 12483
1482000 2169
1378000 1931
1274000 2315
1170000 3013
1066000 3156
962000 4077
858000 5170
754000 5511
650000 8459
546000 9491
442000 19910
338000 45256
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 12337
2184000 682
2080000 4855
1976000 1721
1872000 600
1768000 2592
1664000 1024
1560000 1913
1456000 1206
1352000 2388
1248000 3231
1144000 1331
1040000 3479
936000 2939
832000 7346
728000 6586
624000 6272
520000 62442
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 12337
2184000 682
2080000 4855
1976000 1721
1872000 600
1768000 2592
1664000 1024
1560000 1913
1456000 1206
1352000 2388
1248000 3231
1144000 1331
1040000 3479
936000 2939
832000 7346
728000 6586
624000 6272
520000 62446
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 12337
2184000 682
2080000 4855
1976000 1721
1872000 600
1768000 2592
1664000 1024
1560000 1913
1456000 1206
1352000 2388
1248000 3231
1144000 1331
1040000 3479
936000 2939
832000 7346
728000 6586
624000 6272
520000 62449
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 12337
2184000 682
2080000 4855
1976000 1721
1872000 600
1768000 2592
1664000 1024
1560000 1913
1456000 1206
1352000 2388
1248000 3231
1144000 1331
1040000 3479
936000 2939
832000 7346
728000 6586
624000 6272
520000 62453
--------------------------------------
------------ FREQ TIME --------------------------
