----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 16351
1482000 2566
1378000 2833
1274000 3359
1170000 5241
1066000 5072
962000 7994
858000 11177
754000 13141
650000 15878
546000 16589
442000 25159
338000 33019
--------------------------------------
cpu 1 state 0
1586000 16351
1482000 2566
1378000 2833
1274000 3359
1170000 5241
1066000 5072
962000 7994
858000 11177
754000 13141
650000 15878
546000 16589
442000 25159
338000 33022
--------------------------------------
cpu 2 state 0
1586000 16351
1482000 2566
1378000 2833
1274000 3359
1170000 5241
1066000 5072
962000 7994
858000 11177
754000 13141
650000 15878
546000 16589
442000 25159
338000 33025
--------------------------------------
cpu 3 state 0
1586000 16351
1482000 2566
1378000 2833
1274000 3359
1170000 5241
1066000 5072
962000 7994
858000 11177
754000 13141
650000 15878
546000 16589
442000 25163
338000 33027
--------------------------------------
cpu 4 state 0
2600000 1256
2496000 0
2392000 10
2288000 18249
2184000 948
2080000 5307
1976000 2683
1872000 1231
1768000 3459
1664000 1982
1560000 3078
1456000 1748
1352000 4262
1248000 5532
1144000 2793
1040000 5300
936000 6126
832000 10109
728000 10945
624000 11884
520000 61493
--------------------------------------
cpu 5 state 0
2600000 1256
2496000 0
2392000 10
2288000 18249
2184000 948
2080000 5307
1976000 2683
1872000 1231
1768000 3459
1664000 1982
1560000 3078
1456000 1748
1352000 4262
1248000 5532
1144000 2793
1040000 5300
936000 6126
832000 10109
728000 10945
624000 11884
520000 61498
--------------------------------------
cpu 6 state 0
2600000 1256
2496000 0
2392000 10
2288000 18249
2184000 948
2080000 5307
1976000 2683
1872000 1231
1768000 3459
1664000 1982
1560000 3078
1456000 1748
1352000 4262
1248000 5532
1144000 2793
1040000 5300
936000 6126
832000 10109
728000 10945
624000 11884
520000 61504
--------------------------------------
cpu 7 state 0
2600000 1256
2496000 0
2392000 10
2288000 18249
2184000 948
2080000 5307
1976000 2683
1872000 1231
1768000 3459
1664000 1982
1560000 3078
1456000 1748
1352000 4262
1248000 5532
1144000 2793
1040000 5300
936000 6126
832000 10109
728000 10945
624000 11884
520000 61508
--------------------------------------
------------ FREQ TIME --------------------------
