----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 15563
1482000 2346
1378000 2523
1274000 2938
1170000 4787
1066000 4560
962000 7373
858000 10695
754000 12344
650000 15244
546000 15744
442000 24574
338000 32733
--------------------------------------
cpu 1 state 0
1586000 15563
1482000 2346
1378000 2523
1274000 2938
1170000 4787
1066000 4560
962000 7373
858000 10695
754000 12344
650000 15244
546000 15744
442000 24574
338000 32736
--------------------------------------
cpu 2 state 0
1586000 15563
1482000 2346
1378000 2523
1274000 2938
1170000 4787
1066000 4560
962000 7373
858000 10695
754000 12344
650000 15244
546000 15744
442000 24574
338000 32739
--------------------------------------
cpu 3 state 0
1586000 15563
1482000 2346
1378000 2523
1274000 2938
1170000 4787
1066000 4560
962000 7373
858000 10695
754000 12344
650000 15244
546000 15744
442000 24574
338000 32741
--------------------------------------
cpu 4 state 0
2600000 1256
2496000 0
2392000 10
2288000 17493
2184000 868
2080000 5257
1976000 2533
1872000 1151
1768000 3287
1664000 1800
1560000 2927
1456000 1508
1352000 3999
1248000 5199
1144000 2552
1040000 4930
936000 5672
832000 9613
728000 10351
624000 11109
520000 59918
--------------------------------------
cpu 5 state 0
2600000 1256
2496000 0
2392000 10
2288000 17493
2184000 868
2080000 5257
1976000 2533
1872000 1151
1768000 3287
1664000 1800
1560000 2927
1456000 1508
1352000 3999
1248000 5199
1144000 2552
1040000 4933
936000 5672
832000 9613
728000 10351
624000 11109
520000 59918
--------------------------------------
cpu 6 state 0
2600000 1256
2496000 0
2392000 10
2288000 17493
2184000 868
2080000 5257
1976000 2533
1872000 1151
1768000 3287
1664000 1800
1560000 2927
1456000 1508
1352000 3999
1248000 5199
1144000 2552
1040000 4938
936000 5672
832000 9613
728000 10351
624000 11109
520000 59918
--------------------------------------
cpu 7 state 0
2600000 1256
2496000 0
2392000 10
2288000 17493
2184000 868
2080000 5257
1976000 2533
1872000 1151
1768000 3287
1664000 1800
1560000 2927
1456000 1508
1352000 3999
1248000 5199
1144000 2552
1040000 4938
936000 5672
832000 9613
728000 10351
624000 11109
520000 59922
--------------------------------------
------------ FREQ TIME --------------------------
