----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 13960
1482000 2584
1378000 2333
1274000 2739
1170000 3564
1066000 4030
962000 5403
858000 7642
754000 9399
650000 12858
546000 14457
442000 24727
338000 48443
--------------------------------------
cpu 1 state 0
1586000 13961
1482000 2584
1378000 2333
1274000 2739
1170000 3564
1066000 4030
962000 5403
858000 7642
754000 9399
650000 12858
546000 14457
442000 24727
338000 48445
--------------------------------------
cpu 2 state 0
1586000 13961
1482000 2584
1378000 2333
1274000 2739
1170000 3564
1066000 4030
962000 5403
858000 7642
754000 9399
650000 12858
546000 14457
442000 24727
338000 48448
--------------------------------------
cpu 3 state 0
1586000 13961
1482000 2584
1378000 2333
1274000 2739
1170000 3564
1066000 4030
962000 5403
858000 7642
754000 9399
650000 12858
546000 14457
442000 24727
338000 48452
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 15220
2184000 813
2080000 5076
1976000 2355
1872000 863
1768000 3247
1664000 1469
1560000 2674
1456000 1686
1352000 3302
1248000 4232
1144000 2087
1040000 5018
936000 4706
832000 9693
728000 9456
624000 9332
520000 70922
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 15220
2184000 813
2080000 5076
1976000 2355
1872000 863
1768000 3247
1664000 1469
1560000 2674
1456000 1686
1352000 3302
1248000 4232
1144000 2087
1040000 5018
936000 4706
832000 9693
728000 9459
624000 9332
520000 70922
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 15220
2184000 813
2080000 5076
1976000 2355
1872000 863
1768000 3247
1664000 1469
1560000 2674
1456000 1686
1352000 3302
1248000 4232
1144000 2087
1040000 5018
936000 4706
832000 9693
728000 9462
624000 9332
520000 70922
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 15220
2184000 813
2080000 5076
1976000 2355
1872000 863
1768000 3247
1664000 1469
1560000 2674
1456000 1686
1352000 3302
1248000 4232
1144000 2087
1040000 5019
936000 4706
832000 9693
728000 9463
624000 9332
520000 70922
--------------------------------------
------------ FREQ TIME --------------------------
