----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 23671
1482000 4875
1378000 5023
1274000 5569
1170000 7664
1066000 12215
962000 10897
858000 15134
754000 18207
650000 23887
546000 25746
442000 43476
338000 209290
--------------------------------------
cpu 1 state 0
1586000 23671
1482000 4875
1378000 5023
1274000 5569
1170000 7664
1066000 12215
962000 10897
858000 15134
754000 18207
650000 23887
546000 25746
442000 43476
338000 209293
--------------------------------------
cpu 2 state 0
1586000 23671
1482000 4875
1378000 5023
1274000 5569
1170000 7664
1066000 12215
962000 10897
858000 15134
754000 18207
650000 23887
546000 25750
442000 43476
338000 209296
--------------------------------------
cpu 3 state 0
1586000 23671
1482000 4875
1378000 5023
1274000 5569
1170000 7664
1066000 12215
962000 10897
858000 15134
754000 18207
650000 23887
546000 25756
442000 43476
338000 209296
--------------------------------------
cpu 4 state 0
2600000 462
2496000 10
2392000 10
2288000 29072
2184000 1824
2080000 6258
1976000 4453
1872000 2099
1768000 6158
1664000 3210
1560000 5618
1456000 3476
1352000 6673
1248000 8682
1144000 4832
1040000 9313
936000 9631
832000 17165
728000 18875
624000 18128
520000 249723
--------------------------------------
cpu 5 state 0
2600000 462
2496000 10
2392000 10
2288000 29072
2184000 1824
2080000 6258
1976000 4453
1872000 2099
1768000 6158
1664000 3210
1560000 5618
1456000 3476
1352000 6673
1248000 8682
1144000 4832
1040000 9313
936000 9631
832000 17165
728000 18875
624000 18132
520000 249723
--------------------------------------
cpu 6 state 0
2600000 462
2496000 10
2392000 10
2288000 29072
2184000 1824
2080000 6258
1976000 4453
1872000 2099
1768000 6158
1664000 3210
1560000 5618
1456000 3476
1352000 6673
1248000 8682
1144000 4832
1040000 9313
936000 9631
832000 17165
728000 18875
624000 18135
520000 249723
--------------------------------------
cpu 7 state 0
2600000 462
2496000 10
2392000 10
2288000 29072
2184000 1824
2080000 6258
1976000 4453
1872000 2099
1768000 6158
1664000 3210
1560000 5618
1456000 3476
1352000 6673
1248000 8682
1144000 4832
1040000 9313
936000 9631
832000 17165
728000 18875
624000 18138
520000 249725
--------------------------------------
------------ FREQ TIME --------------------------
