----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 23014
1482000 4732
1378000 4830
1274000 5429
1170000 7381
1066000 12003
962000 10645
858000 14671
754000 17852
650000 23325
546000 25161
442000 42347
338000 204308
--------------------------------------
cpu 1 state 0
1586000 23014
1482000 4732
1378000 4830
1274000 5429
1170000 7381
1066000 12003
962000 10645
858000 14671
754000 17852
650000 23325
546000 25161
442000 42350
338000 204308
--------------------------------------
cpu 2 state 0
1586000 23014
1482000 4732
1378000 4830
1274000 5429
1170000 7381
1066000 12003
962000 10645
858000 14671
754000 17852
650000 23325
546000 25161
442000 42355
338000 204308
--------------------------------------
cpu 3 state 0
1586000 23014
1482000 4732
1378000 4830
1274000 5429
1170000 7381
1066000 12003
962000 10645
858000 14671
754000 17852
650000 23325
546000 25161
442000 42358
338000 204309
--------------------------------------
cpu 4 state 0
2600000 462
2496000 10
2392000 10
2288000 28048
2184000 1743
2080000 6208
1976000 4370
1872000 2036
1768000 6045
1664000 3139
1560000 5352
1456000 3395
1352000 6513
1248000 8488
1144000 4741
1040000 8966
936000 9430
832000 16852
728000 18194
624000 17559
520000 244156
--------------------------------------
cpu 5 state 0
2600000 462
2496000 10
2392000 10
2288000 28048
2184000 1743
2080000 6208
1976000 4370
1872000 2036
1768000 6045
1664000 3139
1560000 5352
1456000 3395
1352000 6513
1248000 8488
1144000 4741
1040000 8966
936000 9430
832000 16852
728000 18194
624000 17559
520000 244161
--------------------------------------
cpu 6 state 0
2600000 462
2496000 10
2392000 10
2288000 28048
2184000 1743
2080000 6208
1976000 4370
1872000 2036
1768000 6045
1664000 3139
1560000 5352
1456000 3395
1352000 6513
1248000 8488
1144000 4741
1040000 8966
936000 9430
832000 16852
728000 18194
624000 17559
520000 244167
--------------------------------------
cpu 7 state 0
2600000 462
2496000 10
2392000 10
2288000 28048
2184000 1743
2080000 6208
1976000 4370
1872000 2036
1768000 6045
1664000 3139
1560000 5352
1456000 3395
1352000 6513
1248000 8488
1144000 4741
1040000 8966
936000 9430
832000 16852
728000 18194
624000 17559
520000 244170
--------------------------------------
------------ FREQ TIME --------------------------
