----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 24785
1482000 5094
1378000 5230
1274000 5908
1170000 8006
1066000 12598
962000 11450
858000 15928
754000 18967
650000 24881
546000 26820
442000 45944
338000 218261
--------------------------------------
cpu 1 state 0
1586000 24785
1482000 5094
1378000 5230
1274000 5908
1170000 8006
1066000 12598
962000 11450
858000 15928
754000 18967
650000 24881
546000 26820
442000 45944
338000 218263
--------------------------------------
cpu 2 state 0
1586000 24785
1482000 5094
1378000 5230
1274000 5908
1170000 8006
1066000 12598
962000 11450
858000 15928
754000 18967
650000 24881
546000 26820
442000 45944
338000 218266
--------------------------------------
cpu 3 state 0
1586000 24785
1482000 5094
1378000 5230
1274000 5908
1170000 8006
1066000 12598
962000 11450
858000 15928
754000 18967
650000 24881
546000 26820
442000 45944
338000 218269
--------------------------------------
cpu 4 state 0
2600000 462
2496000 10
2392000 10
2288000 30595
2184000 1884
2080000 6348
1976000 4661
1872000 2179
1768000 6492
1664000 3321
1560000 5951
1456000 3638
1352000 6947
1248000 9125
1144000 5035
1040000 9905
936000 9992
832000 18094
728000 19802
624000 19027
520000 260405
--------------------------------------
cpu 5 state 0
2600000 462
2496000 10
2392000 10
2288000 30595
2184000 1884
2080000 6348
1976000 4661
1872000 2179
1768000 6492
1664000 3321
1560000 5951
1456000 3638
1352000 6947
1248000 9125
1144000 5035
1040000 9905
936000 9992
832000 18094
728000 19802
624000 19027
520000 260408
--------------------------------------
cpu 6 state 0
2600000 462
2496000 10
2392000 10
2288000 30595
2184000 1884
2080000 6348
1976000 4661
1872000 2179
1768000 6492
1664000 3321
1560000 5951
1456000 3638
1352000 6947
1248000 9125
1144000 5035
1040000 9905
936000 9992
832000 18094
728000 19802
624000 19027
520000 260413
--------------------------------------
cpu 7 state 0
2600000 462
2496000 10
2392000 10
2288000 30595
2184000 1884
2080000 6348
1976000 4661
1872000 2179
1768000 6492
1664000 3321
1560000 5951
1456000 3638
1352000 6947
1248000 9125
1144000 5035
1040000 9905
936000 9992
832000 18094
728000 19802
624000 19027
520000 260418
--------------------------------------
------------ FREQ TIME --------------------------
