----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 11137
1482000 1587
1378000 1628
1274000 1876
1170000 3292
1066000 2650
962000 3931
858000 6047
754000 7027
650000 9378
546000 11036
442000 20807
338000 29183
--------------------------------------
cpu 1 state 0
1586000 11137
1482000 1587
1378000 1630
1274000 1876
1170000 3292
1066000 2650
962000 3931
858000 6047
754000 7027
650000 9378
546000 11036
442000 20807
338000 29183
--------------------------------------
cpu 2 state 0
1586000 11137
1482000 1587
1378000 1630
1274000 1876
1170000 3292
1066000 2650
962000 3931
858000 6047
754000 7027
650000 9378
546000 11036
442000 20807
338000 29191
--------------------------------------
cpu 3 state 0
1586000 11137
1482000 1587
1378000 1630
1274000 1876
1170000 3292
1066000 2650
962000 3931
858000 6047
754000 7027
650000 9378
546000 11036
442000 20810
338000 29195
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 12473
2184000 626
2080000 4779
1976000 1693
1872000 698
1768000 2426
1664000 1181
1560000 1926
1456000 778
1352000 2536
1248000 3475
1144000 1297
1040000 2862
936000 3150
832000 6162
728000 5901
624000 6517
520000 51121
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 12473
2184000 626
2080000 4779
1976000 1693
1872000 698
1768000 2426
1664000 1181
1560000 1926
1456000 778
1352000 2536
1248000 3475
1144000 1297
1040000 2862
936000 3150
832000 6162
728000 5901
624000 6517
520000 51126
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 12473
2184000 626
2080000 4779
1976000 1693
1872000 698
1768000 2426
1664000 1181
1560000 1926
1456000 778
1352000 2536
1248000 3475
1144000 1297
1040000 2862
936000 3150
832000 6162
728000 5905
624000 6517
520000 51126
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 12473
2184000 626
2080000 4779
1976000 1693
1872000 698
1768000 2426
1664000 1181
1560000 1926
1456000 778
1352000 2536
1248000 3475
1144000 1297
1040000 2862
936000 3150
832000 6162
728000 5908
624000 6517
520000 51126
--------------------------------------
------------ FREQ TIME --------------------------
