----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 12057
1482000 1855
1378000 1891
1274000 2235
1170000 3935
1066000 3433
962000 5725
858000 8509
754000 9966
650000 12731
546000 13614
442000 22114
338000 29904
--------------------------------------
cpu 1 state 0
1586000 12057
1482000 1855
1378000 1891
1274000 2235
1170000 3935
1066000 3433
962000 5725
858000 8509
754000 9966
650000 12731
546000 13614
442000 22114
338000 29908
--------------------------------------
cpu 2 state 0
1586000 12057
1482000 1855
1378000 1891
1274000 2235
1170000 3935
1066000 3433
962000 5725
858000 8509
754000 9966
650000 12731
546000 13614
442000 22114
338000 29911
--------------------------------------
cpu 3 state 0
1586000 12057
1482000 1855
1378000 1891
1274000 2235
1170000 3935
1066000 3433
962000 5725
858000 8509
754000 9966
650000 12731
546000 13614
442000 22114
338000 29913
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 14689
2184000 748
2080000 4969
1976000 2070
1872000 918
1768000 2869
1664000 1477
1560000 2439
1456000 1125
1352000 3183
1248000 4233
1144000 1888
1040000 3877
936000 4414
832000 7844
728000 8020
624000 8934
520000 54286
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 14689
2184000 748
2080000 4969
1976000 2070
1872000 918
1768000 2869
1664000 1477
1560000 2439
1456000 1125
1352000 3183
1248000 4233
1144000 1888
1040000 3877
936000 4414
832000 7844
728000 8020
624000 8934
520000 54290
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 14689
2184000 748
2080000 4969
1976000 2070
1872000 918
1768000 2869
1664000 1477
1560000 2439
1456000 1125
1352000 3183
1248000 4233
1144000 1888
1040000 3877
936000 4414
832000 7844
728000 8020
624000 8934
520000 54294
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 14689
2184000 748
2080000 4969
1976000 2070
1872000 918
1768000 2869
1664000 1477
1560000 2439
1456000 1125
1352000 3183
1248000 4233
1144000 1888
1040000 3877
936000 4414
832000 7850
728000 8020
624000 8934
520000 54295
--------------------------------------
------------ FREQ TIME --------------------------
