----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 12681
1482000 2004
1378000 2111
1274000 2487
1170000 4265
1066000 3972
962000 6668
858000 9689
754000 11480
650000 14319
546000 14703
442000 23080
338000 30377
--------------------------------------
cpu 1 state 0
1586000 12681
1482000 2004
1378000 2111
1274000 2487
1170000 4265
1066000 3972
962000 6668
858000 9689
754000 11480
650000 14319
546000 14703
442000 23080
338000 30384
--------------------------------------
cpu 2 state 0
1586000 12681
1482000 2004
1378000 2111
1274000 2487
1170000 4265
1066000 3972
962000 6668
858000 9689
754000 11480
650000 14319
546000 14703
442000 23083
338000 30388
--------------------------------------
cpu 3 state 0
1586000 12681
1482000 2004
1378000 2111
1274000 2487
1170000 4265
1066000 3972
962000 6668
858000 9689
754000 11480
650000 14319
546000 14703
442000 23089
338000 30388
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 15876
2184000 768
2080000 5058
1976000 2281
1872000 1019
1768000 3070
1664000 1659
1560000 2712
1456000 1276
1352000 3594
1248000 4615
1144000 2240
1040000 4433
936000 5184
832000 8801
728000 9107
624000 10101
520000 56067
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 15876
2184000 768
2080000 5058
1976000 2281
1872000 1019
1768000 3070
1664000 1659
1560000 2712
1456000 1276
1352000 3594
1248000 4615
1144000 2240
1040000 4433
936000 5184
832000 8801
728000 9107
624000 10102
520000 56070
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 15876
2184000 768
2080000 5058
1976000 2281
1872000 1019
1768000 3070
1664000 1659
1560000 2712
1456000 1276
1352000 3594
1248000 4615
1144000 2240
1040000 4433
936000 5184
832000 8801
728000 9107
624000 10105
520000 56070
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 15876
2184000 768
2080000 5058
1976000 2281
1872000 1019
1768000 3070
1664000 1659
1560000 2712
1456000 1276
1352000 3594
1248000 4615
1144000 2240
1040000 4433
936000 5184
832000 8801
728000 9107
624000 10108
520000 56070
--------------------------------------
------------ FREQ TIME --------------------------
