----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 22251
1482000 4593
1378000 4710
1274000 5307
1170000 7239
1066000 11891
962000 10461
858000 14388
754000 17603
650000 22903
546000 24768
442000 39291
338000 132355
--------------------------------------
cpu 1 state 0
1586000 22251
1482000 4593
1378000 4710
1274000 5307
1170000 7239
1066000 11891
962000 10461
858000 14388
754000 17603
650000 22904
546000 24768
442000 39295
338000 132355
--------------------------------------
cpu 2 state 0
1586000 22251
1482000 4593
1378000 4710
1274000 5307
1170000 7239
1066000 11891
962000 10461
858000 14388
754000 17603
650000 22907
546000 24768
442000 39295
338000 132355
--------------------------------------
cpu 3 state 0
1586000 22251
1482000 4593
1378000 4710
1274000 5307
1170000 7239
1066000 11891
962000 10461
858000 14388
754000 17603
650000 22910
546000 24768
442000 39295
338000 132355
--------------------------------------
cpu 4 state 0
2600000 455
2496000 10
2392000 0
2288000 27591
2184000 1743
2080000 6188
1976000 4310
1872000 1995
1768000 5945
1664000 3045
1560000 5302
1456000 3315
1352000 6419
1248000 8347
1144000 4604
1040000 8813
936000 9135
832000 16585
728000 17446
624000 17191
520000 169335
--------------------------------------
cpu 5 state 0
2600000 455
2496000 10
2392000 0
2288000 27591
2184000 1743
2080000 6188
1976000 4310
1872000 1995
1768000 5945
1664000 3045
1560000 5302
1456000 3315
1352000 6419
1248000 8347
1144000 4604
1040000 8813
936000 9135
832000 16585
728000 17446
624000 17192
520000 169338
--------------------------------------
cpu 6 state 0
2600000 455
2496000 10
2392000 0
2288000 27591
2184000 1743
2080000 6188
1976000 4310
1872000 1995
1768000 5945
1664000 3045
1560000 5302
1456000 3315
1352000 6419
1248000 8347
1144000 4604
1040000 8813
936000 9135
832000 16585
728000 17446
624000 17192
520000 169341
--------------------------------------
cpu 7 state 0
2600000 455
2496000 10
2392000 0
2288000 27591
2184000 1743
2080000 6188
1976000 4310
1872000 1995
1768000 5945
1664000 3045
1560000 5302
1456000 3315
1352000 6419
1248000 8347
1144000 4604
1040000 8813
936000 9135
832000 16585
728000 17446
624000 17192
520000 169346
--------------------------------------
------------ FREQ TIME --------------------------
