----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 21470
1482000 4403
1378000 4527
1274000 5052
1170000 6984
1066000 11630
962000 10241
858000 13971
754000 17170
650000 22318
546000 24049
442000 37569
338000 129829
--------------------------------------
cpu 1 state 0
1586000 21470
1482000 4403
1378000 4527
1274000 5052
1170000 6984
1066000 11630
962000 10241
858000 13971
754000 17170
650000 22318
546000 24052
442000 37569
338000 129829
--------------------------------------
cpu 2 state 0
1586000 21470
1482000 4403
1378000 4527
1274000 5052
1170000 6984
1066000 11630
962000 10241
858000 13971
754000 17170
650000 22318
546000 24055
442000 37569
338000 129829
--------------------------------------
cpu 3 state 0
1586000 21470
1482000 4403
1378000 4527
1274000 5052
1170000 6984
1066000 11630
962000 10241
858000 13971
754000 17170
650000 22318
546000 24058
442000 37569
338000 129829
--------------------------------------
cpu 4 state 0
2600000 455
2496000 10
2392000 0
2288000 25888
2184000 1643
2080000 6087
1976000 4097
1872000 1903
1768000 5498
1664000 2913
1560000 5049
1456000 3231
1352000 6187
1248000 7684
1144000 4482
1040000 8495
936000 8901
832000 15833
728000 17048
624000 16854
520000 166965
--------------------------------------
cpu 5 state 0
2600000 455
2496000 10
2392000 0
2288000 25888
2184000 1643
2080000 6087
1976000 4097
1872000 1903
1768000 5498
1664000 2913
1560000 5049
1456000 3231
1352000 6187
1248000 7684
1144000 4482
1040000 8495
936000 8901
832000 15835
728000 17054
624000 16854
520000 166965
--------------------------------------
cpu 6 state 0
2600000 455
2496000 10
2392000 0
2288000 25888
2184000 1643
2080000 6087
1976000 4097
1872000 1903
1768000 5498
1664000 2913
1560000 5049
1456000 3231
1352000 6187
1248000 7684
1144000 4482
1040000 8495
936000 8901
832000 15835
728000 17057
624000 16854
520000 166965
--------------------------------------
cpu 7 state 0
2600000 455
2496000 10
2392000 0
2288000 25888
2184000 1643
2080000 6087
1976000 4097
1872000 1903
1768000 5498
1664000 2913
1560000 5049
1456000 3231
1352000 6187
1248000 7684
1144000 4482
1040000 8499
936000 8901
832000 15835
728000 17058
624000 16854
520000 166965
--------------------------------------
------------ FREQ TIME --------------------------
